batch,condition_order,condition,source_condition,encoding,source_row,n,method,round,reps,wall,cpu,calls,transitions
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,22,4096,MERGE,2,4,0.03842400014400482,0.03125,49152,616393
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,23,512,STATIC_CRN,2,32,0.013968299143016338,0.015625,49152,615611
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,24,4096,STATIC_CRN,3,32,0.042669299989938736,0.03125,393216,4933719
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,25,512,STATIC_CRN,3,32,0.014309900812804699,0.015625,49152,612056
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,26,4096,STATIC_ANTI,3,32,0.039888499304652214,0.046875,393216,4935592
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,27,512,BINARY,3,4,0.021741200238466263,0.015625,6144,77223
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,28,512,STATIC_ANTI,3,32,0.014689099974930286,0.015625,49152,618090
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,29,4096,BINARY,3,4,0.11534459982067347,0.109375,49152,616431
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,30,512,MERGE,3,4,0.01309959962964058,0.015625,6144,77223
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,31,4096,MERGE,3,4,0.03778910078108311,0.03125,49152,616431
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,32,512,STATIC_CRN,4,32,0.013524100184440613,0.015625,49152,617877
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,33,4096,STATIC_CRN,4,32,0.0384876998141408,0.046875,393216,4926040
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,34,4096,BINARY,4,4,0.11240839958190918,0.109375,49152,616291
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,35,4096,MERGE,4,4,0.036027200520038605,0.015625,49152,616291
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,36,512,BINARY,4,4,0.021062400192022324,0.015625,6144,77021
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,37,512,MERGE,4,4,0.012822399847209454,0.0,6144,77021
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,38,512,STATIC_ANTI,4,32,0.01407410018146038,0.015625,49152,620730
ordering_2026-09-12,3,case_02_distant,law1_distant,distant,39,4096,STATIC_ANTI,4,32,0.0390905998647213,0.046875,393216,4914106
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,0,512,BINARY,0,4,0.024576399475336075,0.015625,6144,197042
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,1,4096,BINARY,0,4,0.139214800670743,0.125,49152,1577602
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,2,512,MERGE,0,4,0.016184799373149872,0.015625,6144,197042
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,3,4096,STATIC_CRN,0,32,0.06824189983308315,0.078125,393216,12627629
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,4,512,STATIC_CRN,0,32,0.01783089991658926,0.015625,49152,1578770
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,5,512,STATIC_ANTI,0,32,0.017827099189162254,0.015625,49152,1578297
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,6,4096,STATIC_ANTI,0,32,0.06679380033165216,0.0625,393216,12634584
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,7,4096,MERGE,0,4,0.055339500308036804,0.046875,49152,1577602
ordering_2026-09-12,4,case_03_recent,law2_recent,recent,8,4096,MERGE,1,4,0.0560071999207139,0.0625,49152,1577583
